Barcode,Original (List) Price,Sale Price,Stock
198445228353,,,3
198445228360,,,2
196265807987,,,1
196265808014,,,3
196265808021,,,3
196265808038,,,2
196265808076,,,2
196265808083,,,1
196265808090,,,2
196265808106,,,3
196265808113,,,2
196265808120,,,3
196265854073,,,3
196265854080,,,3
196265854097,,,1
196265854103,,,3
196265854110,,,3
196265854127,,,3
196265854134,,,3
196265854172,,,2
196265854189,,,2
196265854196,,,3
196265854202,,,3
196265854219,,,3
196265854226,,,3
198445113970,,,3
198445113987,,,3
198445113994,,,2
198445114007,,,2
198445114014,,,4
198445114021,,,3
196265890941,,,2
196265890958,,,2
196265890965,,,1
196265890996,,,1
198445131189,,,1
198445131196,,,1
198445131219,,,2
198445131226,,,2
198445131233,,,2
198445131257,,,3
198445131264,,,3
196265894055,,,3
196265894062,,,3
196265894079,,,3
196265894086,,,3
198445125324,,,2
198445125331,,,2
198445125348,,,1
198445125355,,,2
198445125362,,,1
198445125379,,,3
198445173424,,,1
198445173448,,,2
198445173455,,,3
198445173462,,,3
198445125508,,,2
198445125515,,,5
198445125522,,,2
198445125539,,,2
198445125546,,,6
198445125553,,,4
198445125737,,,3
198445125744,,,3
198445125775,,,-1
198445125782,,,1
198445125874,,,1
198445125904,,,2
198445125911,,,1
198445180897,,,1
198445215919,,,3
198445215926,,,1
198445215971,,,3
198445215988,,,3
198445228858,,,2
198445228865,,,2
198445228872,,,5
198445228889,,,5
198445228896,,,6
198445228902,,,6
198445228957,,,5
198445228964,,,4
198445228971,,,3
198445228988,,,3
198445228995,,,2
198445228940,,,3
198445242137,,,2
198445242144,,,3
198445242168,,,2
198445242229,,,3
198445242236,,,3
198445242243,,,2
198445242250,,,2
198445242267,,,1
198445242274,,,1
198445242212,,,3
198445220005,,,2
198445220029,,,2
198445220067,,,3
198445220074,,,1
198445220081,,,1
198445220098,,,3
198445220104,,,3
198445220111,,,3
198445220555,,,3
198445220562,,,2
198445220586,,,2
198445280221,,,3
198445280238,,,3
198445280245,,,2
198445280252,,,2
198445280214,,,2
198445223907,,,3
198445223914,,,3
198445223921,,,3
198445223938,,,2
198445223945,,,1
198445223952,,,3
198445223969,,,1
198445223976,,,2
198445223983,,,3
198445235580,,,1
198445235597,,,1
198445235603,,,3
198445235610,,,3
198445235627,,,3
198445235634,,,3
198445265495,,,2
198445265501,,,2
198445265518,,,2
198445265532,,,2
198445265549,,,3
198445306969,,,3
198445306976,,,3
198445306983,,,2
198445306990,,,3
198445334184,,,2
198445334214,,,2
198445334221,,,3
198445334238,,,3
198445334290,,,3
198445334306,,,2
198445334313,,,1
198445334320,,,2
198445334337,,,3
198445334344,,,3
198445334795,,,1
198445334801,,,3
198445334818,,,2
198445334832,,,1
198445334788,,,1
198445334863,,,2
198445334870,,,1
198445334887,,,2
198445334894,,,1
198445334900,,,1
198445334917,,,2
198445363160,,,2
198445363177,,,3
198445363184,,,3
198445363191,,,3
198445363207,,,2
198445363214,,,2
198445383922,,,2
198445383939,,,2
198445383946,,,1
198445383953,,,2
198445383960,,,3
198445383977,,,3
198445383915,,,2
198445370618,,,2
198445370625,,,3
198445370632,,,2
198445370571,,,2
198445352416,,,3
198445352423,,,3
198445352430,,,2
198445352447,,,3
198445352454,,,3
198445352461,,,2
198445352607,,,1
198445352621,,,1
198445352638,,,1
198445352645,,,1
191459179321,,,2
191459230312,,,1
191459179734,,,1
8713537790284,,,1
191459209080,,,9
191459209097,,,4
5700068481159,,,2
5700068304328,,,1
5700068483948,,,2
5700068483955,,,2
5700068412924,,,1
5700068209241,,,1
5700068026879,,,1
5700068304779,,,1
5700068026954,,,1
5700067908596,,,2
5700068484235,,,2
5700068484242,,,2
5700068483566,,,1
5700068483610,,,1
2200001000000,,,1
199025308120,,,1
199025308137,,,2
199025308144,,,2
199025308151,,,2
199025308168,,,1
199025308175,,,1
197976321199,,,1
196642394208,,,1
196642394253,,,1
196642394260,,,1
198739808087,,,2
198739808094,,,2
198739808100,,,2
198739808131,,,1
199252137869,,,1
199252137883,,,2
199252137890,,,1
199252137906,,,1
199252137913,,,1
199252137920,,,1
199252137937,,,1
199252137951,,,1
198739790443,,,2
198739790450,,,2
198739790467,,,2
198739790474,,,2
199252055965,,,2
199252055972,,,2
199252055989,,,2
199252055996,,,2
199252056009,,,2
199252056016,,,2
199025479820,,,1
199025468756,,,1
199025468763,,,1
199025468770,,,1
197976584426,,,1
199025517232,,,2
199025517249,,,2
199025517256,,,2
199025475914,,,1
199025517263,,,1
199025475921,,,2
199025482622,,,1
199025497640,,,2
199025482646,,,1
199025482899,,,2
199025482912,,,1
199025482929,,,1
199252357977,,,2
199252357984,,,2
199252357991,,,2
199252358004,,,1
199252358011,,,2
199252295361,,,1
199252295385,,,1
199252295392,,,1
199252158543,,,2
199252158550,,,1
199252158567,,,2
199252158574,,,1
199252158581,,,2
199252158598,,,1
199252158604,,,1
199252158611,,,2
199252158635,,,1
199252158642,,,1
199252158659,,,1
199252138323,,,2
199252138330,,,1
199252138347,,,1
199252138354,,,1
199252138361,,,1
199252138385,,,1
199252138392,,,2
199252138422,,,1
199252138439,,,1
199252554246,,,1
199252554253,,,1
199252554260,,,1
199252554277,,,2
199252554284,,,2
199252554291,,,1
196989233802,,,1
196989233819,,,1
196989233833,,,2
196989233840,,,1
197627123608,,,2
197627123622,,,1
197627123653,,,1
199025512046,,,2
199025512060,,,2
199025512077,,,2
199025512107,,,2
199025512121,,,2
199025512138,,,3
199025512145,,,1
199025512152,,,1
199025512169,,,1
199025512176,,,1
199025512190,,,1
199025512206,,,1
196923123879,,,1
196923135063,,,1
196923552280,,,3
196923552297,,,3
198466511069,,,1
198466511090,,,1
198466511113,,,2
198466511120,,,4
198466511137,,,3
198466511144,,,4
198466036722,,,1
198466036746,,,1
198466036753,,,1
198466036760,,,2
198466036777,,,3
4060979912977,,,1
742728749501,,,3
825664032132,,,2
825664032149,,,6
825664209398,,,1
825664209404,,,2
825664545564,,,1
196923632586,,,1
196923632593,,,1
196923632616,,,1
196923484918,,,1
