Barcode,Original (List) Price,Sale Price,Stock
198058847835,,,4
198058839441,,,1
198058839434,,,2
198058834057,,,1
198058834040,,,2
198058834033,,,3
198058834064,,,1
198058832480,,,2
198058832473,,,1
198058832503,,,1
198058831834,,,1
198058831827,,,2
198058831810,,,2
198058831841,,,2
198058835436,,,2
198058835443,,,1
198058832671,,,1
198058832664,,,4
198058832657,,,4
198058832688,,,2
198058832602,,,3
198058832596,,,3
198058829428,,,4
198058829411,,,4
198058829442,,,1
198058829251,,,2
198058829237,,,4
198058829268,,,1
198058834651,,,2
198058834644,,,4
198058834637,,,4
198058834668,,,1
198058829312,,,1
198058829305,,,1
198058829299,,,2
198058829329,,,2
198058834767,,,2
198058834750,,,2
198058834781,,,1
198058834828,,,2
198058834811,,,3
198058829541,,,4
198058829534,,,3
198058829602,,,3
198058829596,,,2
198058829626,,,2
198058829510,,,1
198058829497,,,1
198058829480,,,3
198058829473,,,3
198058829503,,,1
198058843769,,,3
198058843752,,,3
198058840539,,,1
198058840522,,,1
198058836860,,,1
198058836853,,,2
198058836884,,,1
198058836839,,,1
198058836815,,,1
198058836808,,,2
198058836792,,,4
198058836822,,,3
198058836846,,,1
198058835788,,,1
198058835771,,,4
198058835801,,,1
198058835900,,,1
198058836211,,,1
198058836204,,,4
198058836198,,,5
198058836228,,,2
198058836150,,,2
198058836143,,,4
198058836136,,,4
198058836167,,,2
198058847606,,,2
198058847552,,,1
198058847545,,,1
198058847538,,,3
198058847569,,,1
198058818101,,,1
198058818309,,,1
198058818378,,,1
198058818354,,,1
198058818385,,,1
198058818392,,,1
198058818088,,,3
198058818019,,,18
198058807235,,,1
198058815520,,,5
198058810273,,,1
198058818057,,,5
198058817821,,,17
198058817838,,,8
198059690119,,,5
198059690102,,,1
198059690164,,,9
198059690058,,,3
198059690065,,,3
198059881838,,,2
198060678502,,,47
198060682356,,,28
198061293056,,,5
198061293049,,,11
198061293032,,,4
198061293025,,,4
198061289882,,,1
198061289875,,,18
198061289868,,,1
198061293070,,,11
198061291779,,,2
198061290215,,,6
198061293018,,,2
198061277643,,,11
198061286126,,,2
198061289196,,,11
198061309740,,,60
198061309733,,,84
198061272150,,,3
198061272815,,,3
198061272808,,,1
198061272839,,,1
198061273188,,,2
198061273164,,,1
198061273126,,,1
198061273119,,,1
198061273102,,,1
198061272020,,,1
198061271207,,,1
198061271191,,,2
198061271184,,,3
198061271085,,,2
198061271078,,,4
198061271061,,,3
198061271092,,,1
198061270606,,,1
198061270590,,,4
198061270583,,,3
198061270613,,,2
198061270637,,,1
198061287611,,,39
198061290239,,,1
198061288151,,,7
198061288175,,,1
198061289363,,,20
198061294329,,,13
198357764383,,,3
198357970708,,,2
198357970692,,,2
198357970685,,,1
198357970883,,,1
198357970876,,,2
198357970869,,,1
198357971729,,,1
198357971712,,,3
198357971835,,,2
198357971828,,,1
198357971231,,,3
198357971224,,,3
198357974362,,,1
198358993188,,,6
198358993997,,,128
198358993973,,,144
198358997599,,,14
198358997605,,,44
198358989129,,,4
198359228357,,,1
198359228333,,,1
198359228326,,,1
198359228319,,,1
198359226773,,,2
198359230749,,,2
198359220030,,,2
198359221600,,,3
198359221594,,,1
198359221624,,,2
198359221648,,,1
198359213537,,,1
198359214787,,,1
198359214893,,,1
198359214886,,,2
198359214879,,,1
198359214909,,,1
198359214411,,,2
198359214398,,,1
198359214381,,,2
198359214312,,,2
198359214275,,,1
198359214305,,,3
198359213667,,,1
198359217702,,,1
198359217696,,,1
198359217726,,,1
198359217054,,,2
198359217047,,,4
198359217030,,,3
198359217061,,,2
198359217085,,,1
198359217108,,,2
198359217092,,,1
198359213995,,,1
198359213988,,,3
198359213971,,,3
198359214008,,,2
198359228456,,,1
198359221112,,,1
198359221327,,,1
198359344637,,,1
198359530276,,,3
198360178054,,,2
198360177873,,,5
198580858552,,,1
198582465468,,,3
198582600517,,,1
198582600500,,,1
198582599866,,,2
198582601934,,,1
198582596070,,,1
198582596063,,,1
198582596056,,,2
198582596087,,,1
198582595998,,,2
198582594908,,,2
198582596117,,,1
198582594854,,,1
198582594830,,,2
198582594861,,,1
198582605062,,,2
198582598852,,,2
198582595509,,,1
198582595547,,,1
198758122089,,,1
198758122249,,,5
198758122096,,,7
198758122102,,,6
198758121624,,,1
198758734077,,,3
198758734060,,,9
198758734053,,,23
198758734022,,,2
198758734008,,,25
198758734015,,,11
198758734046,,,39
198758734039,,,24
198758735197,,,9
198758735180,,,9
198758735203,,,5
198758734138,,,39
198758733889,,,40
198758829063,,,2
198758829056,,,16
198758829049,,,3
198758829070,,,14
198758828875,,,2
198758828868,,,2
